feature,dataset,run_dir,run_name,instruction_text,num_user,embed_dim,n_iter,n_train_img,bs_train,lr,wm_strength,sim_lambda,carr_lambda,cons_lambda,out_decode_lambda,ip2p_steps,count_orig,count_pre,count_wm,id_acc_orig,id_acc_pre,id_acc_wm,verify_pre_auc,verify_pre_acc,verify_pre_tpr1,verify_orig_auc,verify_orig_acc,verify_orig_tpr1,fid_wm_pre,fid_wm_orig,clip_wm_pre,clip_wm_orig,is_wm_mean,is_wm_std
angry1,CelebA_HQ,out/angry1,run_20260316_210146_ins-angry1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the face look angry.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.011396011396011397,0.01282051282051282,0.9529914529914529,0.8957448092953791,0.8244301994301995,0.4045584045584046,0.8720957013335932,0.8016381766381766,0.3575498575498576,20.632768776234997,50.57446915061158,0.9331113135288244,0.7824800742997063,3.142632174491882,0.22830517127722308
anime1,CelebA_HQ,out/anime1,run_20260325_121312_ins-anime1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make it an anime illustration.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.01282051282051282,0.011396011396011397,0.9572649572649573,0.8890806486960333,0.8123219373219374,0.39173789173789175,0.8982267798150989,0.8297720797720798,0.5049857549857549,21.87602637054681,71.93215753736052,0.9458695065092158,0.7403068003321644,2.903812384605408,0.23278570685116615
bald1,CelebA_HQ,out/bald1,run_20260316_151159_ins-bald1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person bald.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.01282051282051282,0.00641025641025641,0.8782051282051282,0.9330915536399866,0.8611111111111112,0.49715099715099714,0.8623311702015406,0.7877492877492878,0.2272079772079772,17.292509232741736,48.97448057615634,0.9319869605903952,0.7001076391407227,2.9569570779800416,0.16688359769036143
beards1,CelebA_HQ,out/beards1,run_20260314_002214_ins-beards1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,add a beard to the person.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.007834757834757835,0.01282051282051282,0.9487179487179487,0.9136905848978499,0.8393874643874644,0.5854700854700855,0.8860652510937411,0.8183760683760684,0.46296296296296297,19.800287052649708,61.89378396294268,0.9406613769948992,0.6923641990604903,3.0555283069610595,0.23453375245029476
bedroom_blue1,LSUN_Bedroom,out/bedroom_blue1,run_20260318_110241_ins-bedroom_blue1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the bedroom blue toned.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.020655270655270654,0.01282051282051282,0.9351851851851852,0.9528917683298026,0.8878205128205128,0.6965811965811965,0.9274724332594703,0.8618233618233618,0.6011396011396012,15.493147865209096,78.98355548107105,0.9516808325239057,0.7915526441486812,3.2091231822967528,0.2564962015529093
bedroom_golden1,LSUN_Bedroom,out/bedroom_golden1,run_20260319_215253_ins-bedroom_golden1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the bedroom golden.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.010683760683760684,0.012108262108262107,0.9287749287749287,0.9186324583404355,0.8518518518518519,0.5413105413105413,0.8904059727599614,0.8215811965811965,0.47507122507122507,15.47797502202269,46.08475356971556,0.9508434409259731,0.8186603305686233,2.7239886283874513,0.20611372448207224
bedroom_green1,LSUN_Bedroom,out/bedroom_green1,run_20260319_040817_ins-bedroom_green1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the bedroom green toned.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.011396011396011397,0.01282051282051282,0.9237891737891738,0.9152624572852492,0.8486467236467237,0.5883190883190883,0.8691115027475426,0.8080484330484331,0.4180911680911681,21.044068163907298,78.96293226650283,0.9419358998452156,0.7829703250077376,3.006392765045166,0.18053365901906113
bedroom_red1,LSUN_Bedroom,out/bedroom_red1,run_20260320_151817_ins-bedroom_red1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the bedroom red toned.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.009259259259259259,0.013532763532763533,0.8803418803418803,0.9132596326328519,0.8500712250712251,0.5740740740740741,0.8623408089220055,0.8087606837606838,0.4886039886039886,14.011968314533163,58.02248305236927,0.9527681955160239,0.7815421600627084,2.7767619609832765,0.14407003270328578
black_hair1,CelebA_HQ,out/black_hair1,run_20260319_205318_ins-black_hair1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person's hair black.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.009971509971509971,0.012108262108262107,0.9074074074074074,0.9506284445743135,0.8828347578347578,0.7086894586894587,0.919453271483186,0.8497150997150997,0.5747863247863247,14.709234033987713,43.58756041971182,0.9415099723131908,0.7948381220683073,3.132858061790466,0.21515691556106023
blond_hair1,CelebA_HQ,out/blond_hair1,run_20260318_101359_ins-blond_hair1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person's hair blond.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.009971509971509971,0.004985754985754986,0.9351851851851852,0.897695381936835,0.8222934472934473,0.3454415954415954,0.8693829088237921,0.8009259259259259,0.31125356125356124,18.361405024428393,46.64739780578125,0.9466609283220394,0.8109405401595298,2.9499356269836428,0.19846253975939787
