feature,dataset,run_dir,run_name,instruction_text,num_user,embed_dim,n_iter,n_train_img,bs_train,lr,wm_strength,sim_lambda,carr_lambda,cons_lambda,out_decode_lambda,ip2p_steps,count_orig,count_pre,count_wm,id_acc_orig,id_acc_pre,id_acc_wm,verify_pre_auc,verify_pre_acc,verify_pre_tpr1,verify_orig_auc,verify_orig_acc,verify_orig_tpr1,fid_wm_pre,fid_wm_orig,clip_wm_pre,clip_wm_orig,is_wm_mean,is_wm_std
angry1,CelebA_HQ,out/angry1,run_20260316_210146_ins-angry1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the face look angry.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.011396011396011397,0.01282051282051282,0.9529914529914529,0.8957448092953791,0.8244301994301995,0.4045584045584046,0.8720957013335932,0.8016381766381766,0.3575498575498576,20.632768776234997,50.57446915061158,0.9331113135288244,0.7824800742997063,3.142632174491882,0.22830517127722308
anime1,CelebA_HQ,out/anime1,run_20260325_121312_ins-anime1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make it an anime illustration.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.01282051282051282,0.011396011396011397,0.9572649572649573,0.8890806486960333,0.8123219373219374,0.39173789173789175,0.8982267798150989,0.8297720797720798,0.5049857549857549,21.87602637054681,71.93215753736052,0.9458695065092158,0.7403068003321644,2.903812384605408,0.23278570685116615
bald1,CelebA_HQ,out/bald1,run_20260316_151159_ins-bald1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person bald.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.01282051282051282,0.00641025641025641,0.8782051282051282,0.9330915536399866,0.8611111111111112,0.49715099715099714,0.8623311702015406,0.7877492877492878,0.2272079772079772,17.292509232741736,48.97448057615634,0.9319869605903952,0.7001076391407227,2.9569570779800416,0.16688359769036143
beards1,CelebA_HQ,out/beards1,run_20260314_002214_ins-beards1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,add a beard to the person.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.007834757834757835,0.01282051282051282,0.9487179487179487,0.9136905848978499,0.8393874643874644,0.5854700854700855,0.8860652510937411,0.8183760683760684,0.46296296296296297,19.800287052649708,61.89378396294268,0.9406613769948992,0.6923641990604903,3.0555283069610595,0.23453375245029476
black_hair1,CelebA_HQ,out/black_hair1,run_20260319_205318_ins-black_hair1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person's hair black.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.009971509971509971,0.012108262108262107,0.9074074074074074,0.9506284445743135,0.8828347578347578,0.7086894586894587,0.919453271483186,0.8497150997150997,0.5747863247863247,14.709234033987713,43.58756041971182,0.9415099723131908,0.7948381220683073,3.132858061790466,0.21515691556106023
blond_hair1,CelebA_HQ,out/blond_hair1,run_20260318_101359_ins-blond_hair1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person's hair blond.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.009971509971509971,0.004985754985754986,0.9351851851851852,0.897695381936835,0.8222934472934473,0.3454415954415954,0.8693829088237921,0.8009259259259259,0.31125356125356124,18.361405024428393,46.64739780578125,0.9466609283220394,0.8109405401595298,2.9499356269836428,0.19846253975939787
curly_hair1,CelebA_HQ,out/curly_hair1,run_20260320_141913_ins-curly_hair1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the person's hair curly.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.014957264957264958,0.011396011396011397,0.9394586894586895,0.942648344980966,0.8906695156695157,0.7044159544159544,0.9299249803167182,0.8753561253561253,0.6752136752136753,17.290999692555857,43.88277258778811,0.9335073576948242,0.8024220693739731,2.747502636909485,0.18070633514736817
elf1,CelebA_HQ,out/elf1/run_20260402_134212_ins-elf1_seed1234_u100_it170_n1404_bs8_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260402_134212_ins-elf1_seed1234_u100_it170_n1404_bs8_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,turn the person into a Tolkien elf.,100,128,170,1404,8,0.00018,0.07,2.0,0.85,0.8,1.4,6,1376,1376,1376,0.007267441860465116,0.00872093023255814,0.9113372093023255,0.924837169162385,0.8510174418604651,0.6082848837209303,0.8452988207308004,0.7747093023255814,0.3175872093023256,18.067633735609803,70.14214338298581,0.9345274098910564,0.634041185750691,2.702601504325867,0.23993646161231266
glasses1,CelebA_HQ,out/glasses1,run_20260316_090245_ins-glasses1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,add glasses to the person.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.011396011396011397,0.011396011396011397,0.9715099715099715,0.924066921128887,0.858974358974359,0.5776353276353277,0.913779108935804,0.8500712250712251,0.5149572649572649,18.861091185631267,46.5274241368939,0.9392618568789246,0.7983251343085895,3.069912815093994,0.21551670093021771
gogh1,CelebA_HQ,out/gogh1/run_20260401_211256_ins-gogh1_seed1234_u100_it170_n1404_bs8_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260401_211256_ins-gogh1_seed1234_u100_it170_n1404_bs8_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make it a painting by Gogh.,100,128,170,1404,8,0.00018,0.07,2.0,0.85,0.8,1.4,6,1376,1376,1376,0.012354651162790697,0.012354651162790697,0.9513081395348837,0.9088683388825041,0.8313953488372093,0.4309593023255814,0.9299264910931584,0.8582848837209303,0.5959302325581395,17.714305092640387,197.110763437674,0.9472073913920064,0.6574620769120926,1.8702481508255004,0.06372087761201962
